Filename,Constructive method, Initial Cost, Purterbative Method, Improved Cost, Reduced Cost , Percentage 
a280.tsp,Nearest Neighbour,3148.11, 2-opt,2803.26,344.845,10.954
a280.tsp,Nearest Neighbour,3148.11, Node Shift,2887.07,261.043,8.29206
a280.tsp,Nearest Neighbour,3148.11, Node Swap,3107.11,41.0029,1.30246
a280.tsp,Cheapest Insertion,3141.66, 2-opt,2888.25,253.409,8.06609
a280.tsp,Cheapest Insertion,3141.66, Node Shift,2804.87,336.793,10.7202
a280.tsp,Cheapest Insertion,3141.66, Node Swap,3128.79,12.868,0.409591
a280.tsp,Farthest Insertion,2957.49, 2-opt,2858.27,99.2201,3.35488
a280.tsp,Farthest Insertion,2957.49, Node Shift,2860.5,96.9907,3.2795
a280.tsp,Farthest Insertion,2957.49, Node Swap,2928.41,29.0753,0.983108
a280.tsp,Random Insertion,3067.87, 2-opt,2993.15,74.7188,2.43552
a280.tsp,Random Insertion,3067.87, Node Shift,2917.56,150.316,4.89968
a280.tsp,Random Insertion,3067.87, Node Swap,3053.3,14.5717,0.474978
berlin52.tsp,Nearest Neighbour,8980.92, 2-opt,7969.14,1011.78,11.2659
berlin52.tsp,Nearest Neighbour,8980.92, Node Shift,8221.69,759.228,8.45379
berlin52.tsp,Nearest Neighbour,8980.92, Node Swap,8850.83,130.084,1.44845
berlin52.tsp,Cheapest Insertion,9050.69, 2-opt,8659.73,390.964,4.31971
berlin52.tsp,Cheapest Insertion,9050.69, Node Shift,8457.5,593.196,6.55415
berlin52.tsp,Cheapest Insertion,9050.69, Node Swap,9000.6,50.0935,0.553477
berlin52.tsp,Farthest Insertion,8308.6, 2-opt,8196.16,112.444,1.35335
berlin52.tsp,Farthest Insertion,8308.6, Node Shift,8055.65,252.957,3.04452
berlin52.tsp,Farthest Insertion,8308.6, Node Swap,8308.6,0,0
berlin52.tsp,Random Insertion,8277.98, 2-opt,8270.48,7.49627,0.0905568
berlin52.tsp,Random Insertion,8277.98, Node Shift,8231.21,46.7721,0.565018
berlin52.tsp,Random Insertion,8277.98, Node Swap,8277.98,0,0
bier127.tsp,Nearest Neighbour,135752, 2-opt,122112,13639.8,10.0476
bier127.tsp,Nearest Neighbour,135752, Node Shift,123860,11892.1,8.76017
bier127.tsp,Nearest Neighbour,135752, Node Swap,129668,6084.01,4.48171
bier127.tsp,Cheapest Insertion,139192, 2-opt,136615,2577.42,1.8517
bier127.tsp,Cheapest Insertion,139192, Node Shift,133177,6014.74,4.32118
bier127.tsp,Cheapest Insertion,139192, Node Swap,138406,785.924,0.564633
bier127.tsp,Farthest Insertion,129734, 2-opt,128971,763.004,0.588131
bier127.tsp,Farthest Insertion,129734, Node Shift,127613,2120.97,1.63487
bier127.tsp,Farthest Insertion,129734, Node Swap,129734,0,0
bier127.tsp,Random Insertion,136487, 2-opt,129622,6864.89,5.0297
bier127.tsp,Random Insertion,136487, Node Shift,130118,6369.19,4.66651
bier127.tsp,Random Insertion,136487, Node Swap,134005,2482.66,1.81897
ch130.tsp,Nearest Neighbour,7575.29, 2-opt,6676.93,898.358,11.8591
ch130.tsp,Nearest Neighbour,7575.29, Node Shift,6886.21,689.078,9.09639
ch130.tsp,Nearest Neighbour,7575.29, Node Swap,7482.09,93.1981,1.23029
ch130.tsp,Cheapest Insertion,7279.21, 2-opt,6800.27,478.939,6.57955
ch130.tsp,Cheapest Insertion,7279.21, Node Shift,6566.78,712.432,9.78722
ch130.tsp,Cheapest Insertion,7279.21, Node Swap,7041.34,237.868,3.26777
ch130.tsp,Farthest Insertion,6493.75, 2-opt,6485.6,8.14912,0.125492
ch130.tsp,Farthest Insertion,6493.75, Node Shift,6447.78,45.965,0.707835
ch130.tsp,Farthest Insertion,6493.75, Node Swap,6490.04,3.707,0.0570856
ch130.tsp,Random Insertion,6957.23, 2-opt,6499.55,457.671,6.57836
ch130.tsp,Random Insertion,6957.23, Node Shift,6615.48,341.741,4.91204
ch130.tsp,Random Insertion,6957.23, Node Swap,6937.22,20.0037,0.287525
ch150.tsp,Nearest Neighbour,8194.61, 2-opt,6837.25,1357.36,16.5641
ch150.tsp,Nearest Neighbour,8194.61, Node Shift,7330.64,863.976,10.5432
ch150.tsp,Nearest Neighbour,8194.61, Node Swap,8105.85,88.7639,1.0832
ch150.tsp,Cheapest Insertion,7792.73, 2-opt,7053.05,739.677,9.49189
ch150.tsp,Cheapest Insertion,7792.73, Node Shift,6823.27,969.456,12.4405
ch150.tsp,Cheapest Insertion,7792.73, Node Swap,7647.54,145.188,1.86312
ch150.tsp,Farthest Insertion,7212.42, 2-opt,7150.48,61.9403,0.858801
ch150.tsp,Farthest Insertion,7212.42, Node Shift,6941.94,270.482,3.75022
ch150.tsp,Farthest Insertion,7212.42, Node Swap,7208.31,4.10602,0.0569298
ch150.tsp,Random Insertion,7110.16, 2-opt,6958.94,151.219,2.1268
ch150.tsp,Random Insertion,7110.16, Node Shift,6920.03,190.135,2.67413
ch150.tsp,Random Insertion,7110.16, Node Swap,7095.61,14.5482,0.204611
eil101.tsp,Nearest Neighbour,825.242, 2-opt,671.399,153.843,18.6422
eil101.tsp,Nearest Neighbour,825.242, Node Shift,679.62,145.622,17.6459
eil101.tsp,Nearest Neighbour,825.242, Node Swap,787.16,38.0824,4.6147
eil101.tsp,Cheapest Insertion,709.469, 2-opt,693.383,16.0855,2.26726
eil101.tsp,Cheapest Insertion,709.469, Node Shift,679.241,30.228,4.26064
eil101.tsp,Cheapest Insertion,709.469, Node Swap,709.469,0,0
eil101.tsp,Farthest Insertion,686.735, 2-opt,684.131,2.60385,0.379164
eil101.tsp,Farthest Insertion,686.735, Node Shift,671.753,14.982,2.18163
eil101.tsp,Farthest Insertion,686.735, Node Swap,686.735,0,0
eil101.tsp,Random Insertion,681.5, 2-opt,681.015,0.485193,0.0711949
eil101.tsp,Random Insertion,681.5, Node Shift,668.585,12.9158,1.8952
eil101.tsp,Random Insertion,681.5, Node Swap,681.5,0,0
eil51.tsp,Nearest Neighbour,513.61, 2-opt,442.299,71.3114,13.8844
eil51.tsp,Nearest Neighbour,513.61, Node Shift,466.276,47.3341,9.21596
