Dataset,NumCities,semiGreedy,K,ConstructiveHeuristic,PerturbativeHeuristic,InitialTourLength,ImprovedTourLength,ImprovementPercentage,ConstructiveTime,PerturbativeTime,TotalTime
a280,280,No,1,Nearest Neighbour Heuristic,2-opt,3296.172551,2833.730332,14.029673,0.009790,0.008103,0.017893
a280,280,No,1,Nearest Insertion Heuristic,Node Swap,3087.330381,2982.152370,3.406762,0.043395,1.018432,1.061827
a280,280,No,1,Farthest Insertion Heuristic,Node Shift,3105.159019,2963.064691,4.576072,0.041564,5.964918,6.006482
berlin52,52,No,1,Nearest Neighbour Heuristic,2-opt,9499.856158,8133.949277,14.378185,0.000414,0.000088,0.000501
berlin52,52,No,1,Nearest Insertion Heuristic,Node Swap,8878.745712,8857.120790,0.243558,0.000541,0.002358,0.002900
berlin52,52,No,1,Farthest Insertion Heuristic,Node Shift,8100.877253,7826.443159,3.387708,0.000525,0.010667,0.011192
bier127,127,No,1,Nearest Neighbour Heuristic,2-opt,140237.142764,131637.254847,6.132390,0.002150,0.000522,0.002672
bier127,127,No,1,Nearest Insertion Heuristic,Node Swap,145384.114704,141526.187825,2.653610,0.005281,0.034584,0.039865
bier127,127,No,1,Farthest Insertion Heuristic,Node Shift,125641.831192,125593.705498,0.038304,0.005101,0.030797,0.035898
ch130,130,No,1,Nearest Neighbour Heuristic,2-opt,8078.182447,6691.524416,17.165471,0.001903,0.000905,0.002808
ch130,130,No,1,Nearest Insertion Heuristic,Node Swap,7440.475632,7126.933608,4.214005,0.005030,0.037533,0.042563
ch130,130,No,1,Farthest Insertion Heuristic,Node Shift,6618.168301,6558.347088,0.903894,0.005457,0.095397,0.100854
ch150,150,No,1,Nearest Neighbour Heuristic,2-opt,7642.765804,6887.447351,9.882789,0.002680,0.000757,0.003437
ch150,150,No,1,Nearest Insertion Heuristic,Node Swap,8196.644849,8100.880125,1.168341,0.008024,0.060142,0.068166
ch150,150,No,1,Farthest Insertion Heuristic,Node Shift,7251.281425,6936.448295,4.341759,0.007563,0.367765,0.375328
eil101,101,No,1,Nearest Neighbour Heuristic,2-opt,796.041397,669.822178,15.855861,0.001089,0.000317,0.001406
eil101,101,No,1,Nearest Insertion Heuristic,Node Swap,728.332865,706.462134,3.002848,0.002585,0.017781,0.020367
eil101,101,No,1,Farthest Insertion Heuristic,Node Shift,683.201098,665.448753,2.598407,0.002707,0.067674,0.070381
eil51,51,No,1,Nearest Neighbour Heuristic,2-opt,630.641880,455.746720,27.732881,0.000289,0.000166,0.000456
eil51,51,No,1,Nearest Insertion Heuristic,Node Swap,490.632845,479.481955,2.272756,0.000523,0.001474,0.001997
eil51,51,No,1,Farthest Insertion Heuristic,Node Shift,448.680499,440.055853,1.922224,0.000534,0.011801,0.012334
eil76,76,No,1,Nearest Neighbour Heuristic,2-opt,709.851393,585.299347,17.546214,0.000623,0.000356,0.000979
eil76,76,No,1,Nearest Insertion Heuristic,Node Swap,625.635629,615.572531,1.608460,0.001304,0.005019,0.006323
eil76,76,No,1,Farthest Insertion Heuristic,Node Shift,598.180277,585.812691,2.067535,0.001528,0.027534,0.029062
kroA100,100,No,1,Nearest Neighbour Heuristic,2-opt,26712.149284,22558.625601,15.549193,0.001111,0.000588,0.001699
kroA100,100,No,1,Nearest Insertion Heuristic,Node Swap,25744.558622,25476.881865,1.039741,0.002869,0.016979,0.019848
kroA100,100,No,1,Farthest Insertion Heuristic,Node Shift,23388.928206,22976.541468,1.763171,0.003020,0.037003,0.040023
kroB100,100,No,1,Nearest Neighbour Heuristic,2-opt,26884.401021,23007.499048,14.420637,0.001060,0.000414,0.001474
kroB100,100,No,1,Nearest Insertion Heuristic,Node Swap,26874.348470,25801.995478,3.990247,0.002535,0.022579,0.025114
kroB100,100,No,1,Farthest Insertion Heuristic,Node Shift,24034.634779,23655.264287,1.578433,0.002611,0.030269,0.032880
kroC100,100,No,1,Nearest Neighbour Heuristic,2-opt,25107.305338,22737.005614,9.440677,0.001170,0.000584,0.001754
kroC100,100,No,1,Nearest Insertion Heuristic,Node Swap,26034.516956,25416.119469,2.375298,0.002601,0.017079,0.019680
kroC100,100,No,1,Farthest Insertion Heuristic,Node Shift,21988.258100,21634.909403,1.606988,0.002616,0.059826,0.062441
kroD100,100,No,1,Nearest Neighbour Heuristic,2-opt,27734.391009,22878.910732,17.507074,0.001044,0.000623,0.001667
kroD100,100,No,1,Nearest Insertion Heuristic,Node Swap,25739.260174,24579.465344,4.505937,0.002477,0.022753,0.025230
kroD100,100,No,1,Farthest Insertion Heuristic,Node Shift,21883.285523,21651.374924,1.059761,0.002931,0.038379,0.041311
kroE100,100,No,1,Nearest Neighbour Heuristic,2-opt,28637.637019,23878.837811,16.617290,0.001210,0.000587,0.001798
kroE100,100,No,1,Nearest Insertion Heuristic,Node Swap,27069.267505,26389.950656,2.509550,0.002704,0.017434,0.020138
kroE100,100,No,1,Farthest Insertion Heuristic,Node Shift,23226.979714,23200.348624,0.114656,0.003141,0.031542,0.034682
lin105,105,No,1,Nearest Neighbour Heuristic,2-opt,17367.827547,15226.335951,12.330221,0.001173,0.000459,0.001632
lin105,105,No,1,Nearest Insertion Heuristic,Node Swap,18829.556958,18654.356888,0.930452,0.002785,0.013531,0.016316
lin105,105,No,1,Farthest Insertion Heuristic,Node Shift,14914.577359,14862.910287,0.346420,0.003328,0.041061,0.044389
lin318,318,No,1,Nearest Neighbour Heuristic,2-opt,51439.527461,46139.698181,10.303029,0.012217,0.004652,0.016869
lin318,318,No,1,Nearest Insertion Heuristic,Node Swap,52263.185633,50522.657641,3.330314,0.059243,0.761247,0.820491
lin318,318,No,1,Farthest Insertion Heuristic,Node Shift,45746.525436,45133.297674,1.340490,0.063689,3.956593,4.020282
pr124,124,No,1,Nearest Neighbour Heuristic,2-opt,74232.038413,64184.441103,13.535392,0.001668,0.000659,0.002327
pr124,124,No,1,Nearest Insertion Heuristic,Node Swap,70019.569969,67357.621754,3.801720,0.004241,0.022395,0.026636
pr124,124,No,1,Farthest Insertion Heuristic,Node Shift,63087.570494,62227.441662,1.363389,0.004444,0.059951,0.064395
pr144,144,No,1,Nearest Neighbour Heuristic,2-opt,66755.020016,59975.783991,10.155395,0.002210,0.000905,0.003115
pr144,144,No,1,Nearest Insertion Heuristic,Node Swap,70319.928714,67871.082247,3.482436,0.006606,0.068476,0.075081
pr144,144,No,1,Farthest Insertion Heuristic,Node Shift,64317.342450,63608.288191,1.102431,0.007047,0.210074,0.217121
pr76,76,No,1,Nearest Neighbour Heuristic,2-opt,151109.055614,112163.436482,25.773187,0.000629,0.000196,0.000825
pr76,76,No,1,Nearest Insertion Heuristic,Node Swap,129907.098149,124062.125869,4.499348,0.001350,0.015024,0.016374
pr76,76,No,1,Farthest Insertion Heuristic,Node Shift,120455.141218,112503.580775,6.601263,0.001502,0.039239,0.040741
rat195,195,No,1,Nearest Neighbour Heuristic,2-opt,2809.581393,2495.426098,11.181569,0.004359,0.002202,0.006561
rat195,195,No,1,Nearest Insertion Heuristic,Node Swap,2918.123944,2693.236419,7.706579,0.015890,0.130530,0.146420
rat195,195,No,1,Farthest Insertion Heuristic,Node Shift,2642.493804,2532.027792,4.180370,0.016068,1.212682,1.228750
rat99,99,No,1,Nearest Neighbour Heuristic,2-opt,1573.128519,1298.822624,17.436967,0.001045,0.000557,0.001602
rat99,99,No,1,Nearest Insertion Heuristic,Node Swap,1476.416742,1422.936822,3.622278,0.003197,0.017259,0.020456
rat99,99,No,1,Farthest Insertion Heuristic,Node Shift,1331.186608,1284.664427,3.494790,0.004093,0.085837,0.089930
